what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949925108
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318949927134
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318950669160
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318950672786
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318950678760
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318950681066
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318950681223
activated,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1318950683318
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318950686158
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318950774945
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318950794694
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318950822711
activated,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1318950889353
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318951008732
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318951305600
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318951339694
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318951361177
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318951426873
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1318951432191
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318951435290
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318951589856
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318951592201
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318951596230
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318951601442
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1318951612774
